# Mathis, Mezger & Panagia (1983) MW ISRF starlight (no CMB), U=1
# lambda[um]   L_lambda[arb, shape only; normalized to unit peak]
  9.120000e-02   5.268703e-01
  9.351357e-02   5.739606e-01
  9.588583e-02   6.252598e-01
  9.831826e-02   6.811440e-01
  1.008124e-01   7.420229e-01
  1.033698e-01   8.083431e-01
  1.059921e-01   8.805908e-01
  1.086809e-01   9.592958e-01
  1.114380e-01   1.000000e+00
  1.142649e-01   1.000000e+00
  1.171636e-01   1.000000e+00
  1.201358e-01   1.000000e+00
  1.231834e-01   1.000000e+00
  1.263084e-01   1.000000e+00
  1.295126e-01   1.000000e+00
  1.327980e-01   1.000000e+00
  1.361669e-01   9.674411e-01
  1.396212e-01   9.278531e-01
  1.431631e-01   8.898851e-01
  1.467948e-01   8.534707e-01
  1.505187e-01   8.185464e-01
  1.543371e-01   7.850512e-01
  1.582523e-01   7.529267e-01
  1.622669e-01   7.221167e-01
  1.663833e-01   6.925674e-01
  1.706041e-01   6.642273e-01
  1.749320e-01   6.370470e-01
  1.793697e-01   6.109788e-01
  1.839200e-01   5.859773e-01
  1.885857e-01   5.619990e-01
  1.933697e-01   5.390018e-01
  1.982751e-01   5.169457e-01
  2.033050e-01   4.957921e-01
  2.084624e-01   4.755041e-01
  2.137507e-01   4.560463e-01
  2.191732e-01   4.373848e-01
  2.247332e-01   4.194868e-01
  2.304342e-01   4.023213e-01
  2.362799e-01   3.858582e-01
  2.422739e-01   3.700688e-01
  2.484199e-01   3.549254e-01
  2.547218e-01   3.118021e-15
  2.611836e-01   3.323197e-15
  2.678093e-01   3.527006e-15
  2.746031e-01   3.728205e-15
  2.815693e-01   3.925614e-15
  2.887121e-01   4.118132e-15
  2.960362e-01   4.304765e-15
  3.035461e-01   4.484630e-15
  3.112465e-01   4.656973e-15
  3.191422e-01   4.821174e-15
  3.272382e-01   4.976751e-15
  3.355396e-01   5.123360e-15
  3.440516e-01   5.260792e-15
  3.527795e-01   5.388966e-15
  3.617288e-01   5.507916e-15
  3.709052e-01   5.617785e-15
  3.803144e-01   5.718802e-15
  3.899622e-01   5.811275e-15
  3.998548e-01   5.895564e-15
  4.099983e-01   5.972074e-15
  4.203992e-01   6.041228e-15
  4.310639e-01   6.103455e-15
  4.419992e-01   6.159174e-15
  4.532118e-01   6.208780e-15
  4.647089e-01   6.252630e-15
  4.764977e-01   6.291031e-15
  4.885855e-01   6.324238e-15
  5.009800e-01   6.352442e-15
  5.136889e-01   6.375771e-15
  5.267202e-01   6.394289e-15
  5.400820e-01   6.407995e-15
  5.537829e-01   6.416828e-15
  5.678313e-01   6.420675e-15
  5.822361e-01   6.419376e-15
  5.970063e-01   6.412734e-15
  6.121512e-01   6.400522e-15
  6.276803e-01   6.382496e-15
  6.436033e-01   6.358407e-15
  6.599303e-01   6.328008e-15
  6.766714e-01   6.291065e-15
  6.938373e-01   6.247370e-15
  7.114386e-01   6.196745e-15
  7.294864e-01   6.139056e-15
  7.479920e-01   6.074211e-15
  7.669672e-01   6.002176e-15
  7.864236e-01   5.922968e-15
  8.063737e-01   5.836665e-15
  8.268298e-01   5.743406e-15
  8.478049e-01   5.643386e-15
  8.693121e-01   5.536859e-15
  8.913648e-01   5.424136e-15
  9.139770e-01   5.305575e-15
  9.371628e-01   5.181584e-15
  9.609369e-01   5.052610e-15
  9.853140e-01   4.919136e-15
  1.010309e+00   4.781672e-15
  1.035939e+00   4.640751e-15
  1.062219e+00   4.496923e-15
  1.089165e+00   4.350744e-15
  1.116795e+00   4.202775e-15
  1.145126e+00   4.053571e-15
  1.174176e+00   3.903680e-15
  1.203962e+00   3.753635e-15
  1.234505e+00   3.603947e-15
  1.265822e+00   3.455109e-15
  1.297933e+00   3.307582e-15
  1.330859e+00   3.161802e-15
  1.364620e+00   3.018169e-15
  1.399238e+00   2.877052e-15
  1.434734e+00   2.738785e-15
  1.471131e+00   2.603665e-15
  1.508450e+00   2.471956e-15
  1.546717e+00   2.343885e-15
  1.585954e+00   2.219643e-15
  1.626187e+00   2.099392e-15
  1.667440e+00   1.983257e-15
  1.709740e+00   1.871335e-15
  1.753112e+00   1.763694e-15
  1.797585e+00   1.660373e-15
  1.843187e+00   1.561388e-15
  1.889945e+00   1.466730e-15
  1.937889e+00   1.376372e-15
  1.987049e+00   1.290266e-15
  2.037457e+00   1.208346e-15
  2.089143e+00   1.130535e-15
  2.142141e+00   1.056739e-15
  2.196483e+00   9.868557e-16
  2.252203e+00   9.207729e-16
  2.309338e+00   8.583706e-16
  2.367921e+00   7.995227e-16
  2.427990e+00   7.440989e-16
  2.489584e+00   6.919651e-16
  2.552740e+00   6.429853e-16
  2.617498e+00   5.970226e-16
  2.683899e+00   5.539397e-16
  2.751984e+00   5.136004e-16
  2.821797e+00   4.758697e-16
  2.893380e+00   4.406149e-16
  2.966780e+00   4.077060e-16
  3.042041e+00   3.770161e-16
  3.119212e+00   3.484220e-16
  3.198340e+00   3.218043e-16
  3.279476e+00   2.970477e-16
  3.362670e+00   2.740412e-16
