# FSPS SSP (MIST/MILES, solar Z, Kroupa IMF), 10 Gyr -- old population
# lambda[um]   L_lambda[arb, shape only; normalized to unit peak]
  9.100000e-03   7.953267e-06
  9.400000e-03   1.025699e-05
  9.600000e-03   1.337433e-05
  9.800000e-03   1.605101e-05
  1.000000e-02   5.287823e-05
  1.020000e-02   3.413724e-05
  1.040000e-02   5.468146e-05
  1.060000e-02   1.161564e-04
  1.080000e-02   1.282590e-04
  1.100000e-02   2.012633e-04
  1.140000e-02   1.221027e-04
  1.180000e-02   1.209181e-04
  1.210000e-02   4.340677e-04
  1.250000e-02   5.831775e-04
  1.270000e-02   4.696810e-04
  1.280000e-02   5.825006e-04
  1.310000e-02   4.884888e-04
  1.320000e-02   8.481868e-04
  1.340000e-02   4.502102e-04
  1.370000e-02   6.099937e-04
  1.400000e-02   9.218672e-04
  1.430000e-02   1.674962e-03
  1.470000e-02   2.538870e-03
  1.510000e-02   2.403393e-03
  1.550000e-02   2.540438e-03
  1.590000e-02   3.451395e-03
  1.620000e-02   3.864676e-03
  1.660000e-02   4.200058e-03
  1.700000e-02   3.708852e-03
  1.730000e-02   3.702911e-03
  1.770000e-02   2.755475e-03
  1.800000e-02   3.844686e-03
  1.820000e-02   3.984485e-03
  1.860000e-02   3.069683e-03
  1.910000e-02   4.249572e-03
  1.940000e-02   4.263141e-03
  1.980000e-02   5.604850e-03
  2.020000e-02   5.181363e-03
  2.050000e-02   5.509259e-03
  2.100000e-02   5.542091e-03
  2.160000e-02   5.639219e-03
  2.200000e-02   4.624903e-03
  2.230000e-02   5.305050e-03
  2.270000e-02   5.635466e-03
  2.300000e-02   7.618444e-03
  2.340000e-02   2.103005e-02
  2.400000e-02   3.422119e-02
  2.460000e-02   3.485473e-02
  2.520000e-02   4.778261e-02
  2.570000e-02   3.781289e-02
  2.600000e-02   3.829179e-02
  2.640000e-02   5.448360e-02
  2.690000e-02   4.657301e-02
  2.740000e-02   4.934265e-02
  2.790000e-02   3.809675e-02
  2.840000e-02   4.468304e-02
  2.900000e-02   4.497279e-02
  2.960000e-02   3.864848e-02
  3.010000e-02   4.136276e-02
  3.080000e-02   2.988224e-02
  3.180000e-02   4.279373e-02
  3.280000e-02   4.756223e-02
  3.380000e-02   3.745926e-02
  3.480000e-02   3.265866e-02
  3.570000e-02   3.792829e-02
  3.660000e-02   3.957382e-02
  3.750000e-02   3.575193e-02
  3.850000e-02   2.838896e-02
  3.950000e-02   3.388797e-02
  4.050000e-02   3.336983e-02
  4.140000e-02   3.215580e-02
  4.220000e-02   2.797992e-02
  4.300000e-02   2.718671e-02
  4.410000e-02   2.576471e-02
  4.510000e-02   2.664515e-02
  4.600000e-02   2.513197e-02
  4.700000e-02   2.429735e-02
  4.800000e-02   2.250862e-02
  4.900000e-02   2.197236e-02
  5.000000e-02   2.189896e-02
  5.060000e-02   2.047416e-02
  5.120000e-02   1.906306e-02
  5.200000e-02   2.052128e-02
  5.300000e-02   1.940185e-02
  5.400000e-02   1.686772e-02
  5.500000e-02   1.521335e-02
  5.600000e-02   1.732554e-02
  5.700000e-02   1.614248e-02
  5.800000e-02   1.554173e-02
  5.900000e-02   1.570206e-02
  6.000000e-02   1.446402e-02
  6.100000e-02   1.273866e-02
  6.200000e-02   1.332719e-02
  6.300000e-02   1.252113e-02
  6.400000e-02   1.251662e-02
  6.500000e-02   1.234090e-02
  6.580000e-02   1.148678e-02
  6.650000e-02   1.086519e-02
  6.750000e-02   1.123805e-02
  6.850000e-02   9.855995e-03
  6.950000e-02   1.030761e-02
  7.050000e-02   9.767441e-03
  7.160000e-02   9.952527e-03
  7.260000e-02   9.552346e-03
  7.350000e-02   9.133352e-03
  7.450000e-02   8.549419e-03
  7.550000e-02   8.251835e-03
  7.650000e-02   6.078172e-03
  7.750000e-02   8.041511e-03
  7.850000e-02   6.710264e-03
  7.950000e-02   7.489056e-03
  8.050000e-02   7.497581e-03
  8.150000e-02   7.238949e-03
  8.250000e-02   6.858284e-03
  8.350000e-02   6.204511e-03
  8.450000e-02   6.631739e-03
  8.550000e-02   6.335143e-03
  8.650000e-02   5.995713e-03
  8.750000e-02   5.977068e-03
  8.850000e-02   5.919677e-03
  8.950000e-02   5.767387e-03
  9.050000e-02   5.579127e-03
  9.150000e-02   7.327681e-03
  9.250000e-02   7.284977e-03
  9.350000e-02   9.892762e-03
  9.450000e-02   1.014436e-02
  9.550000e-02   1.062845e-02
  9.650000e-02   1.056786e-02
  9.750000e-02   8.545999e-03
  9.850000e-02   8.810064e-03
  9.950000e-02   9.258731e-03
  1.005000e-01   9.564826e-03
  1.015000e-01   9.231282e-03
  1.025000e-01   5.972066e-03
  1.035000e-01   8.653477e-03
  1.045000e-01   9.727595e-03
  1.055000e-01   9.453341e-03
  1.065000e-01   8.896581e-03
  1.075000e-01   8.661405e-03
  1.085000e-01   5.349176e-03
  1.095000e-01   8.526188e-03
