# Starburst99 instantaneous SSP (Padova, Z=0.02), t=1.000e+10 yr (~10 Gyr) -- old population
# lambda[um]   L_lambda[arb, shape only; normalized to unit peak]
  9.100000e-03   5.804970e-51
  9.400000e-03   5.804970e-51
  9.600000e-03   5.804970e-51
  9.800000e-03   5.804970e-51
  1.000000e-02   5.804970e-51
  1.020000e-02   5.804970e-51
  1.040000e-02   5.804970e-51
  1.060000e-02   5.804970e-51
  1.080000e-02   5.804970e-51
  1.100000e-02   5.804970e-51
  1.140000e-02   5.804970e-51
  1.180000e-02   5.804970e-51
  1.210000e-02   5.804970e-51
  1.250000e-02   5.804970e-51
  1.270000e-02   5.804970e-51
  1.280000e-02   5.804970e-51
  1.310000e-02   5.804970e-51
  1.320000e-02   5.804970e-51
  1.340000e-02   5.804970e-51
  1.370000e-02   5.804970e-51
  1.400000e-02   5.804970e-51
  1.430000e-02   5.804970e-51
  1.470000e-02   5.804970e-51
  1.510000e-02   5.804970e-51
  1.550000e-02   5.804970e-51
  1.590000e-02   5.804970e-51
  1.620000e-02   5.804970e-51
  1.660000e-02   5.804970e-51
  1.700000e-02   5.804970e-51
  1.730000e-02   5.804970e-51
  1.770000e-02   5.804970e-51
  1.800000e-02   5.804970e-51
  1.820000e-02   5.804970e-51
  1.860000e-02   5.804970e-51
  1.910000e-02   5.804970e-51
  1.940000e-02   5.804970e-51
  1.980000e-02   5.804970e-51
  2.020000e-02   5.804970e-51
  2.050000e-02   5.804970e-51
  2.100000e-02   5.804970e-51
  2.160000e-02   5.804970e-51
  2.200000e-02   5.804970e-51
  2.230000e-02   5.804970e-51
  2.270000e-02   5.804970e-51
  2.300000e-02   5.804970e-51
  2.340000e-02   5.804970e-51
  2.400000e-02   5.804970e-51
  2.460000e-02   5.804970e-51
  2.520000e-02   5.804970e-51
  2.570000e-02   5.804970e-51
  2.600000e-02   5.804970e-51
  2.640000e-02   5.804970e-51
  2.690000e-02   5.804970e-51
  2.740000e-02   5.804970e-51
  2.790000e-02   5.804970e-51
  2.840000e-02   5.804970e-51
  2.900000e-02   5.804970e-51
  2.960000e-02   5.804970e-51
  3.010000e-02   5.804970e-51
  3.080000e-02   5.804970e-51
  3.180000e-02   5.804970e-51
  3.280000e-02   5.804970e-51
  3.380000e-02   5.804970e-51
  3.480000e-02   5.804970e-51
  3.570000e-02   5.804970e-51
  3.660000e-02   5.804970e-51
  3.750000e-02   5.804970e-51
  3.850000e-02   5.804970e-51
  3.950000e-02   5.804970e-51
  4.050000e-02   5.804970e-51
  4.140000e-02   5.804970e-51
  4.220000e-02   5.804970e-51
  4.300000e-02   5.804970e-51
  4.410000e-02   5.804970e-51
  4.510000e-02   5.804970e-51
  4.600000e-02   5.804970e-51
  4.700000e-02   5.804970e-51
  4.800000e-02   5.804970e-51
  4.900000e-02   5.804970e-51
  5.000000e-02   5.804970e-51
  5.060000e-02   5.804970e-51
  5.120000e-02   5.804970e-51
  5.200000e-02   5.804970e-51
  5.300000e-02   5.804970e-51
  5.400000e-02   5.804970e-51
  5.500000e-02   5.804970e-51
  5.600000e-02   5.804970e-51
  5.700000e-02   5.804970e-51
  5.800000e-02   5.804970e-51
  5.900000e-02   5.804970e-51
  6.000000e-02   5.804970e-51
  6.100000e-02   5.804970e-51
  6.200000e-02   5.804970e-51
  6.300000e-02   5.804970e-51
  6.400000e-02   5.804970e-51
  6.500000e-02   5.804970e-51
  6.580000e-02   5.804970e-51
  6.650000e-02   5.804970e-51
  6.750000e-02   5.804970e-51
  6.850000e-02   5.804970e-51
  6.950000e-02   5.804970e-51
  7.050000e-02   5.804970e-51
  7.160000e-02   5.804970e-51
  7.260000e-02   5.804970e-51
  7.350000e-02   5.804970e-51
  7.450000e-02   5.804970e-51
  7.550000e-02   5.804970e-51
  7.650000e-02   5.804970e-51
  7.750000e-02   5.804970e-51
  7.850000e-02   5.804970e-51
  7.950000e-02   5.804970e-51
  8.050000e-02   5.804970e-51
  8.150000e-02   5.804970e-51
