# FSPS SSP (MIST/MILES, solar Z, Kroupa IMF), 10 Myr -- young population
# lambda[um]   L_lambda[arb, shape only; normalized to unit peak]
  9.100000e-03   1.422734e-23
  9.400000e-03   1.333370e-23
  9.600000e-03   1.278392e-23
  9.800000e-03   1.226804e-23
  1.000000e-02   1.178363e-23
  1.020000e-02   1.132745e-23
  1.040000e-02   1.091066e-23
  1.060000e-02   1.053130e-23
  1.080000e-02   1.020025e-23
  1.100000e-02   9.953090e-24
  1.140000e-02   9.859381e-24
  1.180000e-02   1.090980e-23
  1.210000e-02   1.314646e-23
  1.250000e-02   1.968331e-23
  1.270000e-02   2.557904e-23
  1.280000e-02   2.934773e-23
  1.310000e-02   4.505609e-23
  1.320000e-02   5.205713e-23
  1.340000e-02   6.962445e-23
  1.370000e-02   1.065445e-22
  1.400000e-02   1.602014e-22
  1.430000e-02   2.380742e-22
  1.470000e-02   3.949729e-22
  1.510000e-02   6.471528e-22
  1.550000e-02   1.083268e-21
  1.590000e-02   1.767366e-21
  1.620000e-02   2.570411e-21
  1.660000e-02   4.248740e-21
  1.700000e-02   7.124111e-21
  1.730000e-02   1.054369e-20
  1.770000e-02   1.798301e-20
  1.800000e-02   2.708326e-20
  1.820000e-02   3.586812e-20
  1.860000e-02   6.435588e-20
  1.910000e-02   1.437001e-19
  1.940000e-02   2.468373e-19
  1.980000e-02   5.299818e-19
  2.020000e-02   1.270185e-18
  2.050000e-02   2.560080e-18
  2.100000e-02   8.586102e-18
  2.160000e-02   3.753994e-17
  2.200000e-02   9.910962e-17
  2.230000e-02   2.056102e-16
  2.270000e-02   4.101881e-16
  2.300000e-02   4.107035e-13
  2.340000e-02   9.180139e-12
  2.400000e-02   6.250914e-11
  2.460000e-02   1.023078e-10
  2.520000e-02   1.233611e-10
  2.570000e-02   3.446575e-10
  2.600000e-02   1.401583e-09
  2.640000e-02   4.783449e-10
  2.690000e-02   4.553475e-09
  2.740000e-02   9.705280e-09
  2.790000e-02   2.968446e-09
  2.840000e-02   2.654276e-07
  2.900000e-02   6.033082e-08
  2.960000e-02   3.398728e-07
  3.010000e-02   4.143833e-07
  3.080000e-02   2.733593e-07
  3.180000e-02   1.920345e-06
  3.280000e-02   3.523665e-07
  3.380000e-02   5.131571e-06
  3.480000e-02   9.304133e-06
  3.570000e-02   8.331150e-07
  3.660000e-02   2.165309e-05
  3.750000e-02   2.574880e-05
  3.850000e-02   1.722196e-06
  3.950000e-02   2.646270e-05
  4.050000e-02   2.415180e-05
  4.140000e-02   7.306136e-05
  4.220000e-02   8.421217e-05
  4.300000e-02   2.055887e-04
  4.410000e-02   1.232963e-04
  4.510000e-02   8.727029e-05
  4.600000e-02   1.100609e-04
  4.700000e-02   2.181636e-04
  4.800000e-02   3.837991e-04
  4.900000e-02   3.186294e-05
  5.000000e-02   4.130981e-04
  5.060000e-02   9.321104e-06
  5.120000e-02   1.077456e-03
  5.200000e-02   9.960290e-04
  5.300000e-02   1.484602e-03
  5.400000e-02   1.543640e-03
  5.500000e-02   5.395564e-04
  5.600000e-02   1.801234e-03
  5.700000e-02   2.535117e-03
  5.800000e-02   2.111977e-03
  5.900000e-02   3.412687e-03
  6.000000e-02   3.505766e-03
  6.100000e-02   2.436716e-03
  6.200000e-02   5.061330e-03
  6.300000e-02   4.119644e-03
  6.400000e-02   5.112672e-03
  6.500000e-02   5.587173e-03
  6.580000e-02   4.783673e-03
  6.650000e-02   3.023818e-03
  6.750000e-02   7.265681e-03
  6.850000e-02   7.132277e-03
  6.950000e-02   8.335957e-03
  7.050000e-02   1.011278e-02
  7.160000e-02   8.423959e-03
  7.260000e-02   8.121461e-03
  7.350000e-02   1.070565e-02
  7.450000e-02   3.704434e-03
  7.550000e-02   1.358412e-02
  7.650000e-02   1.767082e-02
  7.750000e-02   1.365755e-02
  7.850000e-02   4.996178e-03
  7.950000e-02   1.348205e-02
  8.050000e-02   1.269656e-02
  8.150000e-02   1.136291e-02
  8.250000e-02   1.707857e-02
  8.350000e-02   5.900384e-02
  8.450000e-02   2.210233e-02
  8.550000e-02   1.676458e-02
  8.650000e-02   2.248760e-02
  8.750000e-02   1.822111e-02
  8.850000e-02   2.113061e-02
  8.950000e-02   1.959474e-02
  9.050000e-02   2.287882e-02
  9.150000e-02   6.834184e-01
  9.250000e-02   3.482491e-01
  9.350000e-02   6.207581e-01
  9.450000e-02   4.483006e-01
  9.550000e-02   2.482425e-01
  9.650000e-02   9.512290e-01
  9.750000e-02   5.457545e-02
  9.850000e-02   3.306334e-01
  9.950000e-02   4.050337e-01
  1.005000e-01   8.987559e-01
  1.015000e-01   6.292018e-01
  1.025000e-01   6.241823e-01
  1.035000e-01   4.436106e-01
  1.045000e-01   8.449820e-01
  1.055000e-01   8.495723e-01
  1.065000e-01   9.504130e-01
  1.075000e-01   1.000000e+00
  1.085000e-01   4.884690e-01
  1.095000e-01   8.891406e-01
  1.105000e-01   7.661617e-01
  1.115000e-01   7.729762e-01
  1.125000e-01   4.543420e-01
  1.135000e-01   6.205761e-01
  1.145000e-01   4.210100e-01
  1.155000e-01   4.944350e-01
  1.165000e-01   6.956718e-01
  1.175000e-01   2.479158e-01
  1.185000e-01   5.565689e-01
  1.195000e-01   7.437642e-01
  1.205000e-01   5.778622e-01
  1.215000e-01   5.143960e-01
  1.225000e-01   5.377087e-01
  1.235000e-01   6.989198e-01
  1.245000e-01   4.520905e-01
  1.255000e-01   6.066626e-01
  1.265000e-01   6.133901e-01
  1.275000e-01   6.744572e-01
  1.285000e-01   6.020688e-01
  1.295000e-01   4.285473e-01
  1.305000e-01   5.701038e-01
  1.315000e-01   5.478188e-01
  1.325000e-01   4.548676e-01
  1.335000e-01   4.838429e-01
  1.345000e-01   5.458385e-01
  1.355000e-01   4.214739e-01
