# Starburst99 instantaneous SSP (Padova, Z=0.02), t=1.000e+07 yr (~10 Myr) -- young population
# lambda[um]   L_lambda[arb, shape only; normalized to unit peak]
  9.100000e-03   2.237742e-26
  9.400000e-03   1.053683e-25
  9.600000e-03   4.671754e-25
  9.800000e-03   1.107032e-24
  1.000000e-02   3.003378e-24
  1.020000e-02   1.018498e-23
  1.040000e-02   2.436969e-23
  1.060000e-02   5.678322e-23
  1.080000e-02   1.480983e-22
  1.100000e-02   4.869115e-22
  1.140000e-02   2.151989e-21
  1.180000e-02   9.504516e-21
  1.210000e-02   3.504209e-20
  1.250000e-02   1.189050e-19
  1.270000e-02   2.594239e-19
  1.280000e-02   3.992914e-19
  1.310000e-02   7.717915e-19
  1.320000e-02   1.414588e-18
  1.340000e-02   2.217328e-18
  1.370000e-02   4.920169e-18
  1.400000e-02   1.230410e-17
  1.430000e-02   3.228197e-17
  1.470000e-02   8.932643e-17
  1.510000e-02   2.299959e-16
  1.550000e-02   6.266572e-16
  1.590000e-02   1.426790e-15
  1.620000e-02   2.887753e-15
  1.660000e-02   6.661929e-15
  1.700000e-02   1.593933e-14
  1.730000e-02   2.910382e-14
  1.770000e-02   5.472301e-14
  1.800000e-02   1.018380e-13
  1.820000e-02   1.320779e-13
  1.860000e-02   2.826441e-13
  1.910000e-02   6.317860e-13
  1.940000e-02   9.985964e-13
  1.980000e-02   1.996135e-12
  2.020000e-02   3.272879e-12
  2.050000e-02   5.177856e-12
  2.100000e-02   1.107108e-11
  2.160000e-02   2.320652e-11
  2.200000e-02   3.629777e-11
  2.230000e-02   5.366486e-11
  2.270000e-02   8.380887e-11
  2.300000e-02   1.360066e-07
  2.340000e-02   7.715072e-07
  2.400000e-02   1.622221e-06
  2.460000e-02   3.186251e-06
  2.520000e-02   4.788395e-06
  2.570000e-02   2.827223e-06
  2.600000e-02   9.147028e-06
  2.640000e-02   4.738927e-05
  2.690000e-02   6.156870e-05
  2.740000e-02   5.983703e-05
  2.790000e-02   4.652539e-05
  2.840000e-02   8.449480e-05
  2.900000e-02   9.459975e-05
  2.960000e-02   7.736419e-05
  3.010000e-02   4.359935e-05
  3.080000e-02   1.276174e-04
  3.180000e-02   3.161258e-04
  3.280000e-02   3.268436e-04
  3.380000e-02   4.649647e-04
  3.480000e-02   5.770454e-04
  3.570000e-02   7.079132e-04
  3.660000e-02   8.924009e-04
  3.750000e-02   1.123389e-03
  3.850000e-02   1.209985e-03
  3.950000e-02   1.508551e-03
  4.050000e-02   1.844378e-03
  4.140000e-02   2.196443e-03
  4.220000e-02   2.404529e-03
  4.300000e-02   2.632267e-03
  4.410000e-02   3.225002e-03
  4.510000e-02   3.807238e-03
  4.600000e-02   4.179266e-03
  4.700000e-02   4.781344e-03
  4.800000e-02   5.486432e-03
  4.900000e-02   5.879224e-03
  5.000000e-02   6.913373e-03
  5.060000e-02   2.521912e-02
  5.120000e-02   7.597138e-02
  5.200000e-02   7.291720e-02
  5.300000e-02   7.054724e-02
  5.400000e-02   5.807109e-02
  5.500000e-02   7.086634e-02
  5.600000e-02   7.882065e-02
  5.700000e-02   8.196718e-02
  5.800000e-02   7.025868e-02
  5.900000e-02   8.095804e-02
  6.000000e-02   8.016411e-02
  6.100000e-02   8.042295e-02
  6.200000e-02   8.752256e-02
  6.300000e-02   8.695008e-02
  6.400000e-02   8.742990e-02
  6.500000e-02   8.407560e-02
  6.580000e-02   8.319553e-02
  6.650000e-02   8.661438e-02
  6.750000e-02   9.093268e-02
  6.850000e-02   8.359687e-02
  6.950000e-02   8.674811e-02
  7.050000e-02   8.763145e-02
  7.160000e-02   9.531473e-02
  7.260000e-02   9.517218e-02
  7.350000e-02   9.655172e-02
  7.450000e-02   9.593565e-02
  7.550000e-02   9.628087e-02
  7.650000e-02   1.021668e-01
  7.750000e-02   9.687685e-02
  7.850000e-02   9.193905e-02
  7.950000e-02   9.894184e-02
  8.050000e-02   9.879160e-02
  8.150000e-02   9.894184e-02
  8.250000e-02   1.008811e-01
  8.350000e-02   8.965613e-02
  8.450000e-02   1.008904e-01
  8.550000e-02   9.813411e-02
  8.650000e-02   1.023411e-01
  8.750000e-02   1.026408e-01
  8.850000e-02   1.031644e-01
  8.950000e-02   1.036573e-01
  9.050000e-02   1.028111e-01
  9.150000e-02   1.921808e-01
  9.250000e-02   4.285485e-01
  9.350000e-02   6.010492e-01
  9.450000e-02   8.089469e-01
  9.550000e-02   8.917847e-01
  9.650000e-02   1.000000e+00
  9.750000e-02   5.520139e-01
  9.850000e-02   9.454749e-01
  9.950000e-02   8.902869e-01
  1.005000e-01   9.350611e-01
  1.015000e-01   9.067342e-01
  1.025000e-01   6.293468e-01
  1.035000e-01   8.409497e-01
  1.045000e-01   9.393339e-01
  1.055000e-01   9.140080e-01
  1.065000e-01   8.471689e-01
  1.075000e-01   8.475006e-01
  1.085000e-01   7.992635e-01
  1.095000e-01   8.462331e-01
  1.105000e-01   8.121757e-01
  1.115000e-01   7.986748e-01
  1.125000e-01   7.116394e-01
  1.135000e-01   7.754789e-01
  1.145000e-01   7.430876e-01
  1.155000e-01   7.214064e-01
  1.165000e-01   7.178604e-01
  1.175000e-01   5.937450e-01
  1.185000e-01   6.841637e-01
  1.195000e-01   6.554054e-01
  1.205000e-01   5.968016e-01
  1.215000e-01   4.374012e-01
  1.225000e-01   5.986735e-01
  1.235000e-01   6.288542e-01
  1.245000e-01   6.181018e-01
  1.255000e-01   6.095088e-01
  1.265000e-01   6.008970e-01
  1.275000e-01   5.991009e-01
  1.285000e-01   5.878818e-01
  1.295000e-01   5.536177e-01
  1.305000e-01   5.524081e-01
  1.315000e-01   5.582902e-01
  1.325000e-01   5.407170e-01
  1.335000e-01   5.245296e-01
  1.345000e-01   5.208708e-01
  1.355000e-01   5.171422e-01
  1.365000e-01   5.018917e-01
  1.375000e-01   4.928673e-01
  1.385000e-01   4.845404e-01
  1.395000e-01   4.356523e-01
  1.405000e-01   4.284992e-01
  1.415000e-01   4.579310e-01
  1.425000e-01   4.402506e-01
  1.435000e-01   4.420588e-01
  1.442000e-01   4.398656e-01
  1.447000e-01   4.347104e-01
  1.455000e-01   4.261574e-01
  1.465000e-01   4.170230e-01
  1.475000e-01   4.100908e-01
  1.485000e-01   4.046877e-01
  1.495000e-01   3.963784e-01
  1.505000e-01   3.864649e-01
  1.512000e-01   3.764957e-01
  1.517000e-01   3.757682e-01
  1.525000e-01   3.695473e-01
  1.535000e-01   3.483213e-01
  1.545000e-01   3.125576e-01
  1.555000e-01   3.270168e-01
  1.565000e-01   3.266630e-01
  1.575000e-01   3.363954e-01
  1.585000e-01   3.281255e-01
  1.595000e-01   3.293745e-01
  1.605000e-01   3.163152e-01
  1.615000e-01   3.099346e-01
  1.625000e-01   3.071143e-01
  1.635000e-01   3.053936e-01
  1.645000e-01   2.959988e-01
  1.655000e-01   2.962238e-01
  1.665000e-01   2.931298e-01
  1.672000e-01   2.846427e-01
  1.677000e-01   2.934742e-01
  1.685000e-01   2.884032e-01
  1.695000e-01   2.824100e-01
  1.705000e-01   2.763122e-01
  1.715000e-01   2.689800e-01
  1.725000e-01   2.648561e-01
  1.735000e-01   2.663422e-01
  1.745000e-01   2.611079e-01
  1.755000e-01   2.579051e-01
  1.765000e-01   2.522087e-01
  1.775000e-01   2.488915e-01
  1.785000e-01   2.456801e-01
  1.795000e-01   2.428175e-01
  1.805000e-01   2.407465e-01
  1.815000e-01   2.342880e-01
  1.825000e-01   2.322523e-01
  1.835000e-01   2.291659e-01
  1.845000e-01   2.204804e-01
  1.855000e-01   2.166806e-01
  1.865000e-01   2.155411e-01
  1.875000e-01   2.147188e-01
  1.885000e-01   2.062291e-01
  1.895000e-01   2.005349e-01
  1.905000e-01   2.031655e-01
  1.915000e-01   1.973013e-01
  1.925000e-01   1.920525e-01
  1.935000e-01   1.938251e-01
  1.945000e-01   1.934016e-01
  1.955000e-01   1.850674e-01
  1.967000e-01   1.869175e-01
  1.976000e-01   1.872621e-01
  1.984000e-01   1.820246e-01
  1.995000e-01   1.774802e-01
  2.005000e-01   1.777583e-01
  2.015000e-01   1.762504e-01
  2.025000e-01   1.752710e-01
  2.035000e-01   1.702511e-01
  2.045000e-01   1.682287e-01
  2.055000e-01   1.520548e-01
  2.065000e-01   1.578229e-01
  2.074000e-01   1.651505e-01
  2.078000e-01   1.609163e-01
  2.085000e-01   1.606127e-01
  2.095000e-01   1.566823e-01
  2.105000e-01   1.565381e-01
  2.115000e-01   1.554175e-01
