test,mode,np,nphotons,wall_seconds
strong,eq,1,6.4e7,829.681186720
strong,eq,2,6.4e7,418.646602267
strong,eq,4,6.4e7,215.862080885
strong,eq,8,6.4e7,109.157067946
strong,eq,16,6.4e7,55.345683260
strong,eq,32,6.4e7,30.977934259
strong,eq,64,6.4e7,29.423969786
strong,ms,2,6.4e7,846.457189865
strong,ms,4,6.4e7,283.155923980
strong,ms,8,6.4e7,122.125428025
strong,ms,16,6.4e7,58.097212264
strong,ms,32,6.4e7,31.758496288
strong,ms,64,6.4e7,27.642334966
weak,eq,1,1.0e+06,13.650863740
weak,eq,2,2.0e+06,14.335848691
weak,eq,4,4.0e+06,14.376690194
weak,eq,8,8.0e+06,14.488328138
weak,eq,16,1.6e+07,14.657442015
weak,eq,32,3.2e+07,16.154027447
weak,eq,64,6.4e+07,29.317950648
weak,ms,2,2.0e+06,27.518256451
weak,ms,4,4.0e+06,18.756108131
weak,ms,8,8.0e+06,16.236312511
weak,ms,16,1.6e+07,15.424473797
weak,ms,32,3.2e+07,16.401712244
weak,ms,64,6.4e+07,27.587193172
